_	11,21,22,23,42,51,52,53,54,55,56,61,62,71,72,81,92
6222	62221
62221	622210
6223	62231
62231	622310
623	6231,6232,6233,6239
6231	62311
62311	623110
6232	62321,62322
62321	623210
62322	623220
6233	62331
62331	623311,623312
6239	62399
62399	623990
624	6241,6242,6243,6244
6241	62411,62412,62419
62411	624110
62412	624120
62419	624190
6242	62421,62422,62423
62421	624210
62422	624221,624229
62423	624230
6243	62431
62431	624310
6244	62441
62441	624410
71	711,712,713
711	7111,7112,7113,7114,7115
7111	71111,71112,71113,71119
71111	711110
71112	711120
71113	711130
71119	711190
7112	71121
71121	711211,711212,711219
7113	71131,71132
71131	711310
71132	711320
7114	71141
71141	711410
7115	71151
71151	711510
712	7121
7121	71211,71212,71213,71219
71211	712110
71212	712120
71213	712130
71219	712190
713	7131,7132,7139
7131	71311,71312
71311	713110
71312	713120
7132	71321,71329
71321	713210
71329	713290
7139	71391,71392,71393,71394,71395,71399
71391	713910
71392	713920
71393	713930
71394	713940
71395	713950
71399	713990
72	721,722
721	7211,7212,7213
7211	72111,72112,72119
72111	721110
72112	721120
72119	721191,721199
7212	72121
72121	721211,721214
7213	72131
72131	721310
722	7223,7224,7225
7223	72231,72232,72233
72231	722310
72232	722320
72233	722330
7224	72241
72241	722410
7225	72251
72251	722511,722513,722514,722515
81	811,812,813,814
811	8111,8112,8113,8114
8111	81111,81112,81119
81111	811111,811112,811113,811118
81112	811121,811122
81119	811191,811192,811198
8112	81121
81121	811211,811212,811213,811219
8113	81131
81131	811310
8114	81141,81142,81143,81149
81141	811411,811412
81142	811420
81143	811430
81149	811490
812	8121,8122,8123,8129
8121	81211,81219
81211	812111,812112,812113
81219	812191,812199
8122	81221,81222
81221	812210
81222	812220
8123	81231,81232,81233
81231	812310
81232	812320
81233	812331,812332
8129	81291,81292,81293,81299
81291	812910
81292	812921,812922
81293	812930
81299	812990
813	8131,8132,8133,8134,8139
8131	81311
81311	813110
8132	81321
81321	813211,813212,813219
8133	81331
81331	813311,813312,813319
8134	81341
81341	813410
8139	81391,81392,81393,81394,81399
81391	813910
81392	813920
81393	813930
81394	813940
81399	813990
814	8141
8141	81411
81411	814110
92	921,922,923,924,925,926,927,928
921	9211
9211	92111,92112,92113,92114,92115,92119
92111	921110
92112	921120
92113	921130
92114	921140
92115	921150
92119	921190
922	9221
9221	92211,92212,92213,92214,92215,92216,92219
92211	922110
92212	922120
92213	922130
92214	922140
92215	922150
92216	922160
92219	922190
923	9231
9231	92311,92312,92313,92314
92311	923110
92312	923120
92313	923130
92314	923140
924	9241
9241	92411,92412
92411	924110
92412	924120
925	9251
9251	92511,92512
92511	925110
92512	925120
926	9261
9261	92611,92612,92613,92614,92615
92611	926110
92612	926120
92613	926130
92614	926140
92615	926150
927	9271
9271	92711
92711	927110
928	9281
9281	92811,92812
92811	928110
92812	928120
